form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,overabundance_tag,analysis_tag,source,page,language_id
komkhoirentak221,hmu,3.sg.1.pl.excl.nfut.neg,ei-hmu-mak,ei-Σ-mak,ei+Σ+mak,ei Σ m a k,ei + Σ + m a k,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak222,hmu,3.sg.1.pl.excl.nfut.neg,ani-hmu-mak,ani-Σ-mak,a+ni+Σ+mak,a n i Σ m a k,a + n i + Σ + m a k,dialect_var,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak223,hmu,3.sg.1.pl.incl.nfut.neg,ei-hmu-mak,ei-Σ-mak,ei+Σ+mak,ei Σ m a k,ei + Σ + m a k,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak224,hmu,3.sg.1.pl.incl.nfut.neg,a-hmu-mak,a-Σ-mak,a+Σ+mak,a Σ m a k,a + Σ + m a k,dialect_var,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak225,hmu,3.sg.1.pl.incl.nfut.neg,ani-hmu-mak,ani-Σ-mak,a+ni+Σ+mak,a n i Σ m a k,a + n i + Σ + m a k,dialect_var,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak226,hmu,3.pl.1.sg.nfut.neg,a-hmu-mak-hei,a-Σ-mak-hei,a+Σ+mak+hei,a Σ m a k h ei,a + Σ + m a k + h ei,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak227,hmu,3.pl.1.sg.nfut.neg,ei-hmu-mak-hei,ei-Σ-mak-hei,ei+Σ+mak+hei,ei Σ m a k h ei,ei + Σ + m a k + h ei,dialect_var,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak228,hmu,3.pl.1.sg.nfut.neg,ani-hmu-mak-hei,ani-Σ-mak-hei,a+ni+Σ+mak+hei,a n i Σ m a k h ei,a + n i + Σ + m a k + h ei,dialect_var,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak229,hmu,3.pl.1.pl.excl.nfut.neg,ei-hmu-mak-hei,ei-Σ-mak-hei,ei+Σ+mak+hei,ei Σ m a k h ei,ei + Σ + m a k + h ei,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak230,hmu,3.pl.1.pl.excl.nfut.neg,a-hmu-mak-hei,a-Σ-mak-hei,a+Σ+mak+hei,a Σ m a k h ei,a + Σ + m a k + h ei,dialect_var,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak231,hmu,3.pl.1.pl.excl.nfut.neg,ani-hmu-mak-hei,ani-Σ-mak-hei,a+ni+Σ+mak+hei,a n i Σ m a k h ei,a + n i + Σ + m a k + h ei,dialect_var,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak232,hmu,3.pl.1.pl.incl.nfut.neg,a-hmu-mak-hei,a-Σ-mak-hei,a+Σ+mak+hei,a Σ m a k h ei,a + Σ + m a k + h ei,dialect_var,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
